INFO 2025-11-27 17:30:17,846 autoreload Watching for file changes with StatReloader
INFO 2025-11-27 17:30:29,935 basehttp "GET /media/products/gallery/prod_1506_0.jpg HTTP/1.1" 200 41414
INFO 2025-11-27 17:30:29,948 basehttp "GET /media/products/gallery/prod_1384_0.jpg HTTP/1.1" 200 61736
INFO 2025-11-27 17:30:29,951 basehttp "GET /media/products/gallery/prod_1595_0.jpg HTTP/1.1" 200 105228
INFO 2025-11-27 17:30:29,959 basehttp "GET /media/products/gallery/prod_1600_0.webp HTTP/1.1" 200 9892
INFO 2025-11-27 17:30:29,968 basehttp "GET /media/products/gallery/prod_1459_0.jpg HTTP/1.1" 200 48127
INFO 2025-11-27 17:30:29,970 basehttp "GET /media/products/gallery/prod_1604_0.jpg HTTP/1.1" 200 63550
INFO 2025-11-27 17:30:29,987 basehttp "GET /media/products/gallery/prod_1603_0.jpg HTTP/1.1" 200 129691
INFO 2025-11-27 17:30:29,990 basehttp "GET /media/products/gallery/prod_1602_0.jpg HTTP/1.1" 200 30159
INFO 2025-11-27 17:30:29,993 basehttp "GET /media/products/gallery/prod_1471_0.jpg HTTP/1.1" 200 41298
INFO 2025-11-27 17:30:30,005 basehttp - Broken pipe from ('127.0.0.1', 64118)
INFO 2025-11-27 17:30:30,008 basehttp "GET /media/products/gallery/prod_1448_0.jpg HTTP/1.1" 200 247681
INFO 2025-11-27 17:30:30,025 basehttp - Broken pipe from ('127.0.0.1', 55280)
INFO 2025-11-27 17:30:30,025 basehttp - Broken pipe from ('127.0.0.1', 49658)
INFO 2025-11-27 17:30:30,025 basehttp - Broken pipe from ('127.0.0.1', 60913)
INFO 2025-11-27 17:30:30,064 basehttp - Broken pipe from ('127.0.0.1', 57433)
INFO 2025-11-27 17:30:31,454 basehttp "GET /catalog/ HTTP/1.1" 200 411145
INFO 2025-11-27 17:30:31,523 basehttp "GET /media/products/gallery/prod_1598_0.jpg HTTP/1.1" 200 29886
INFO 2025-11-27 17:30:31,524 basehttp "GET /media/products/gallery/prod_1606_0.jpg HTTP/1.1" 200 51548
INFO 2025-11-27 17:30:31,529 basehttp "GET /media/products/gallery/prod_1588_0.jpg HTTP/1.1" 200 32122
INFO 2025-11-27 17:30:31,530 basehttp "GET /media/products/gallery/prod_1594_0.jpg HTTP/1.1" 200 33999
INFO 2025-11-27 17:30:31,533 basehttp "GET /media/products/gallery/prod_1593_0.jpg HTTP/1.1" 200 19986
INFO 2025-11-27 17:30:31,534 basehttp "GET /media/products/gallery/prod_1591_0.jpg HTTP/1.1" 200 41954
INFO 2025-11-27 17:30:31,567 basehttp "GET /media/products/gallery/prod_1586_0.jpg HTTP/1.1" 200 129524
